[NAME][100][1]	[COMMENT][211][1]	[TYPE][101][1]	[LENGTH][105][1]	[FORMAT][106][1]	[CONNECTION][102][1]	[GROUP][104][1]	[ADDRPARAMS][108][1]	[SCALEVALID][112][2]	[SCALEPARAM1][113][1]	[SCALEPARAM2][114][1]	[SCALEPARAM3][115][1]	[SCALEPARAM4][116][1]	[MINLIMIT][117][1]	[MAXLIMIT][118][1]	[STARTVALUE][119][1]	[SUBSTVALUE][120][1]	[SUBSTVALUE_ON_MINLIMIT][121][2]	[SUBSTVALUE_ON_MAXLIMIT][122][2]	[SUBSTVALUE_AS_STARTVALUE][123][2]	[SUBSTVALUE_ON_ERROR][124][2]	[UPDATEMODE][111][2]	[SYNCHRONIZATION][125][2]	[RUNTIMEPERSISTENCE][126][2]	[PLCVARIABLENAME][209][1]	[PLCBLOCKNAME][210][1]
Name	Comment	Data type	Length	Format adaptation	Connection	Group	Address	Linear scaling	AS value range from	AS value range to	OS value range from	OS value range to	Low limit	High limit	Start value	Substitute value	Substitute value at low limit	Substitute value at high limit	Substitute value as start value	Substitute value on connection errors	Computer-local	Synchronization	Runtime persistence	AS tag name	Name space
Hydraulic_Gate_2_Close_Fast		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW152.6	0									0	0	0	0	0	0	0		
Hydraulic_Gate_2_Close_Slow		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW152.7	0									0	0	0	0	0	0	0		
Hydraulic_Gate_2_Open_Fast		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW153.0	0									0	0	0	0	0	0	0		
Hydraulic_Gate_2_Open_Slow		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW153.1	0									0	0	0	0	0	0	0		
Hydraulic_Gate_Mode_AUTO		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW153.7	0									0	0	0	0	0	0	0		
Hydraulic_Gate_Mode_HAND		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW153.0	0									0	0	0	0	0	0	0		
Hydraulic_HEAT_ON		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW153.5	0									0	0	0	0	0	0	0		
Hydraulic_HEAT_Stoerung		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW36.3	0									0	0	0	0	0	0	0		
Hydraulic_Mode_Local		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW152.1	0									0	0	0	0	0	0	0		
Hydraulic_Oil_Level_min		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW36.4	0									0	0	0	0	0	0	0		
Hydraulic_ON		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW152.0	0									0	0	0	0	0	0	0		
Hydraulic_Pump_1_ON		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW153.3	0									0	0	0	0	0	0	0		
Hydraulic_Pump_1_Stoerung		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW36.6	0									0	0	0	0	0	0	0		
Hydraulic_Pump_2_ON		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW153.4	0									0	0	0	0	0	0	0		
Hydraulic_Pump_2_Stoerung		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW36.7	0									0	0	0	0	0	0	0		
Hydraulic_Set_OFF		Binary Tag	1		Common_PLC-1	HydroGate	DB459,DW30.1	0									0	0	0	0	0	0	0		
Hydraulic_Set_ON		Binary Tag	1		Common_PLC-1	HydroGate	DB459,DW30.0	0									0	0	0	0	0	0	0		
Hydraulic_System_Press_min		Binary Tag	1		Common_PLC-1	HydroGate	DB451,DW36.4	0									0	0	0	0	0	0	0		
Hydraulic_Temperature_max		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW36.1	0									0	0	0	0	0	0	0		
Hydraulic_Temperature_min		Binary Tag	1		Common_PLC-1	HydroGate	DB450,DW36.2	0									0	0	0	0	0	0	0		
INSTRUM_LUFT_0_10BAR		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	I_A	DB151,DBW4	0									0	0	0	0	0	0	0		
knopka_nepreriv		Binary Tag	1		Common_PLC-1	TDT	DB458,DW15.0	0									0	0	0	0	0	0	0		
L1Argon		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	Rotametr	DB227,DBW502	0									0	0	0	0	0	0	0		
L2Argon		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	Rotametr	DB227,DBW504	0									0	0	0	0	0	0	0		
L3Argon		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	Rotametr	DB227,DBW506	0									0	0	0	0	0	0	0		
L4Argon		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	Rotametr	DB227,DBW508	0									0	0	0	0	0	0	0		
MLC_OpMode_Strand_1		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	OMO	DB227,DBW192	0									0	0	0	0	0	0	0		
MLC_OpMode_Strand_2		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	OMO	DB227,DBW292	0									0	0	0	0	0	0	0		
MLC_OpMode_Strand_3		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	OMO	DB227,DBW392	0									0	0	0	0	0	0	0		
MLC_OpMode_Strand_4		Signed 16-bit value	2	ShortToSignedWord	Common_PLC-1	OMO	DB227,DBW492	0									0	0	0	0	0	0	0		
pbt-C_T-U-QUERTRANSPORT_1_AUTOMATIC		Binary Tag	1		Common_PLC-1	C_T	DB451,DW150.4	0									0	0	0	0	0	0	0		
pbt-C_T-U-QUERTRANSPORT_1_BEREIT		Binary Tag	1		Common_PLC-1	C_T	DB451,DW150.5	0									0	0	0	0	0	0	0		
pbt-C_T-U-QUERTRANSPORT_1_HAND		Binary Tag	1		Common_PLC-1	C_T	DB451,DW150.3	0									0	0	0	0	0	0	0		
pbt-C_T-U-QUERTRANSPORT_2_AUTOMATIC		Binary Tag	1		Common_PLC-1	C_T	DB451,DW150.7	0									0	0	0	0	0	0	0		
pbt-C_T-U-QUERTRANSPORT_2_BEREIT		Binary Tag	1		Common_PLC-1	C_T	DB451,DW151.0	0									0	0	0	0	0	0	0		
pbt-C_T-U-QUERTRANSPORT_2_HAND		Binary Tag	1		Common_PLC-1	C_T	DB451,DW150.6	0									0	0	0	0	0	0	0		
pbt-C_T-U-QUERTRANSPORTEN_DOPPELT		Binary Tag	1		Common_PLC-1	C_T	DB451,DW150.2	0									0	0	0	0	0	0	0		
